ID,Enseignes,Latitude,Longitude,CP,Adresse,Ville,Type
73420001,E.Leclerc,4565700,591100,73420,214 Chemin de la Boisière,Drumettaz-Clarafond,R
73420002,Intermarché,4564736.17151,589391.783002,73420,La Coua,VIVIERS-DU-LAC,R
73420004,E.Leclerc,4563899.0197218,589154.36274,73420,Route de l'aéroport,Voglans,R
73420005,TotalEnergies,4567291,592696,73100,AUTOROUTE A41N - AIRE DE DRUMETTAZ,Mouxy,A
73450001,autre,4516579.8215003,643250.40144063,73450,ROUTE DU TELEGRAPHE - LES CAHRBONNIERES,VALLOIRE,R
73460002,E.Leclerc,4564600,633000,73460,217 rue du grand Arc Carrefour des vallées,TOURNON,R
73460003,Netto,4563300,631200,73460,ZI Le pont,FRONTENEX,R
73470001,Avia,4559400,577700,73470,Route du Lac,Novalaise,R
73480001,Avia,4528600,688400,73480,1 ROUTE DE L'ISERAN LANSLEBOURG,VAL CENIS,R
73490002,Système U,4556300,596600,73490,rue du pré Renaud,LA RAVOIRE,R
73490003,TotalEnergies Access,4557000,596200,73490,RD 1006 CARREFOUR LA TROUSSE,LA RAVOIRE,R
73500004,Casino,4519967.8297369,666917.4557955,73500,19 cours Aristide Briand,Modane,R
73500005,Intermarché,4519083.0674671,664227.06349045,73500,"70, Avenue de la Liberté",MODANE,R
73500006,Shell,4519700,662400,73500,EX AUTOPORT DU FREJUS,Freney,R
73540002,Système U,4564037,643979,73540,Route de l'Énergie,La Bâthie,R
73540003,Elan,4561200,645000,73540,399 rue de bompan,La Bâthie,R
73540005,Elan,4562486.75,644991.61,73540,Rue du Bompan Aire De Langon,La Bathie,R
73600002,Système U,4546609.6289751,652621.35289833,73600,ZONE DES MOULINS,SALINS FONTAINE,R
73600006,TotalEnergies Access,4547668.3531191,652735.68624855,73600,192 AV.DES THERMES SALINS,Salins-les-Thermes,R
73600007,ENI,4547500,652800,73600,427 AVENUE DES THERMES,Salins-les-Thermes,R
73600009,Casino,4548851.3222932,652767.14991974,73600,446 Avenue des XVI E JO D'Hiver,Moûtiers,R
73610002,Avia,4554400,576300,73610,3320 ROUTE DU LAC,Saint-Alban-de-Montbel,R
73630003,Carrefour Contact,4568900,613500,73630,Avenue Denis Therme,Le Chatelard,R
73630004,Carrefour Contact,4568883.4217287,613454.2184517,73630,85 RUE DES ECURIES,LE CHATELARD,R
73660001,autre,4540000,627600,73660,596 ROUTE DU LAC,LES-CHAVANNES-EN-MAURIENNE,R
73700001,Système U,4562300,678000,73700,ROUTE DES ARCS,Bourg-Saint-Maurice,R
73700005,Intermarché,4562400,678000,73700,Lieu-dit Le Mollard,BOURG-SAINT-MAURICE,R
73730008,ENI,4547476.872999,652810.31795962,73730,RN 90,CEVINS,R
73800001,BP,4552600,597500,73800,AUTOROUTE A41 AIRE DU GRANIER,Myans,A
73800002,Système U,4550400,603900,73800,Le Boisset Francin,MONTMéLIAN,R
73800003,TotalEnergies,4550400,603800,73800,Route Nationale 6,FRANCIN,R
73800005,Intermarché,4550400,606900,73800,Chemin de la Caronnière,Montmélian,R
73800006,TotalEnergies,4544424.8152172,603344.26166694,73800,120 RUE DU GRESIVAUDAN,LAISSAUD,R
73870003,Dyneff,4524593.5454489,642438.76383603,73870,"Autoroute A43, Aire de Saint-Julien-Mont-Denis",Saint-Julien-Mont-Denis,A
74000002,Carrefour,4591900,612400,74000,134 avenue de geneve,ANNECY,R
74000004,Esso Express,4591700,612800,74000,AVENUE DE LA PLAINE,Annecy,R
74000007,Intermarché,4589500,612000,74000,4 Rue du Travail,ANNECY,R
74000010,AGIP,4589800,611700,74000,17 AVENUE CHAMBERY,ANNECY,R
74000014,TotalEnergies Access,4590803,611613,74000,18 BD.DE LA ROCADE,ANNECY,R
74000020,ENI,4591000,611800,74000,4 BIS CHEMIN DES ALLUEGES,ANNECY,R
74000021,ENI,4589800,611700,74000,17 AVENUE CHAMBERY,ANNECY,R
74000022,ENI,4589810.7027054,611663.54662905,74000,17 AVENUE DE CHAMBERY,Annecy,R
74100001,Géant,4619600,625500,74100,14 Rue de la Résistance,Annemasse,R
74100005,Esso Express,4619400,624100,74100,6 Route des Vallées,Annemasse,R
74100007,E.Leclerc,4620500,624000,74100,Rue Albert Hénon,Ville-la-Grand,R
74100008,Intermarché,4618400,627600,74100,17 rue des Teppes,VETRAZ-MONTHOUX,R
74100009,Elan,4617800,624200,74100,132 Route de Bonneville,Vétraz-Monthoux,R
74100010,TotalEnergies,4618600,623100,74100,66 ROUTE D'ETREMBIERES,ANNEMASSE,R
74100011,TotalEnergies,4619500,626100,74100,81 ROUTE DE THONON,ANNEMASSE,R
74100013,Carrefour Market,4618189.7751965,623818.91428537,74100,90 Route de Bonneville,ANNEMASSE,R
74100014,autre,4619443.6831591,625514.70417725,74100,14 rue de la Résistance,Annemasse,R
74110001,Avia,4618300,670200,74110,195 route de La Plagne,MORZINE,R
74120003,Casino,4587109,662990,74120, Route de Sallanches,DEMI-QUARTIER,R
74120004,Intermarché,4583991,657942,74120,Route de Megève,Praz-sur-Arly,R
74120006,TotalEnergies,4586477.4,662550.7,74120,ROUTE NATIONALE 522,MEGEVE,R
74120008,Casino,4587149.9809676,663053.51996824,74120,271 ROUTE DE SALLANCHES,DEMI-QUARTIER,R
