id,Enseignes,Latitude,Longitude,CP,Adresse,Ville,Type
86200005,e.leclerc,47.006,0.081,86200,BOULEVARD JEAN PASCAULT,LOUDUN,R
86220003,elan,46.948,0.608,86220,Route Nationale 10 - Lieu-dit la Fosse aux Sables,Les Ormes,R
86300002,avia,46.558,0.625,86300,ZA DE PEURON 2 RUE ENTREPRENEURS,Chauvigny,R
86310002,intermarche,46.56676,0.8598,86310,8 Avenue du Général de Gaulle,Saint-Savin,R
86320002,intermarche,46.402,0.722,86320,Rue Julien David,Lussac-les-Châteaux,R
86360001,auchan,46.667,0.371,86360,RN10 LES PORTES DU FUTUR,Chasseneuil-du-Poitou,R
86370006,avia,46.386460845681995,0.22097741127015,86370,Aire des vieilles etables RN 10,VIVONNE,R
86370008,esso,46.377,0.211,86370,Brandes De Cercigny RN10,VIVONNE,R
86400003,intermarche,46.16,0.311,86400,Route de Niort,SAVIGNé,R
86400004,elan,46.1516666,0.2944168,86400,59 BIS AVENUE HENRI ROUCHER,CIVRAY,R
86500002,e.leclerc,46.419,0.855,86500,2 AVENUE DE PROVENCE,MONTMORILLON,R
86530001,intermarche,46.756,0.484,86530,Avenue du Cerisier Noir,NAINTRé,R
86600001,intermarche,46.42874,0.11532,86600,63 av Saintonge,Lusignan,R
86700003,intermarche,46.305,0.183,86700,28 avenue de Paris,Couhé,R
86800003,e.leclerc,46.567,0.564,86800,RN 151 - La Carte,Jardres,R
87000006,intermarche,45.815,1.269,87000,RUE BERNART DE VENTADOUR,LIMOGES,R
87000020,intermarche,45.8145722283,1.2449106590899999,87000,"77, rue Charles Legendre",LIMOGES,R
87000023,esso,45.84,1.258,87100,2 Place Sadi Carnot,LIMOGES,R
87000028,e.leclerc,45.818457256025,1.2492994846559,87000,26 RUE WAGNER,LIMOGES,R
87100007,intermarche,45.838,1.219,87100,86 Rue Abbe Pierre,LIMOGES,R
87100012,avia,45.838,1.232,87100,100 boulevard de la borie,Limoges,R
87120002,casino,45.73811,1.73414,87120,Le Claud RN 79,Eymoutiers,R
87150002,intermarche,45.708,0.845,87150,32 Rue de Saint-Mathieu,CUSSAC,R
87160002,esso,46.313,1.419,87160,AUTOROUTE A 20,Saint-Sulpice-les-Feuilles,A
87160006,esso,46.313481789662,1.4194282693000002,87160,A 20,Saint-Sulpice-les-Feuilles,A
87190001,intermarche,46.215,1.166,87190,Avenue Jules Courivaud,MAGNAC-LAVAL,R
87200003,e.leclerc,45.896,0.915,87200,Avenue d'Oradour sur Glane,Saint-Junien,R
87210003,intermarche,46.21632,1.08409,87210,Faubourg de la Porte de Dinsac,LE DORAT,R
87230002,intermarche,45.653,0.981,87230,14 avenue François Mitterrand,Châlus,R
87250001,intermarche,46.13182,1.37253,87250,RN 20 - Croix du Breuil,Bessines-sur-Gartempe,R
87270002,casino,45.85841,1.24292,87270, Avenue de Limoges,COUZEIX,R
87270004,esso,45.865,1.238,87270,Avenue de Limoges,COUZEIX,R
87280001,avia,45.907905756291,1.2925191624324,87280,A20 AIRE DE BEAUNE LES MINES,LIMOGES,A
87280002,esso,45.914,1.293,87280,AUTOROUTE A 20,Limoges,A
87280003,e.leclerc,45.870008956300005,1.2684087631599998,87280,Rue Henry Giffard,LIMOGES,R
87290001,intermarche,46.136,1.268,87290,Avenue de Lorraine,Châteauponsac,R
87290002,independant sans enseigne,46.198122226251996,1.3055375797584,87290,Route de Lavergne,Saint-Sornin-Leulac,R
87300003,intermarche,46.129,1.055,87300,1 rue René Coty,Bellac,R
87310001,independant sans enseigne,45.769263932879994,0.9641147166716499,87310,Rue de la Borie,Saint Laurent Sur Gorre,R
87320001,avia,46.232,0.898,87320,23 BEAULIEU,Bussière-Poitevine,R
87350001,casino,45.82753,1.2918,87350,2 Avenue Léonard Limosin,Panazol,R
87350003,intermarche,45.832,1.304,87350,Avenue Jean Zay,PANAZOL,R
87380002,intermarche,45.619,1.438,87380,"37, route de la Gare",MAGNAC-BOURG,R
87400005,intermarche,45.904242763602,1.5945068099733,87400,2 RUE EMILE DOURDET,Sauviat-sur-Vige,R
87430001,avia,45.847,1.172,87430,RN141,VERNEUIL-SUR-VIENNE,R
