,id,Enseignes,Latitude,Longitude,CP,Adresse,Ville,Type
2101,22360001,carrefour,48.496,-2.728,22360,Rue Jules Verne,LANGUEUX,R
2103,22390001,carrefour,48.478,-3.186,22390,BOULEVARD D ARMOR,Bourbriac,R
2104,22400001,carrefour,48.4672198707,-2.5215226986999997,22400,20 RUE DU DOCTEUR LAVERGNE,LAMBALLE,R
2109,22400010,carrefour,48.53188139814301,-2.5777083107307996,22400,708 rue du Verger,Lamballe Amor Planguenoual,R
2117,22460003,carrefour,48.281,-2.839,22460,Rue du Parc Mail,Uzel,R
2123,22500001,carrefour,48.773,-3.039,22500,RUE RAYMOND PELLIER,PAIMPOL,R
2134,22580001,carrefour,48.691,-2.933,22580,Le Chene Vert,PLOUHA,R
2143,22630002,carrefour,48.37711932,-1.9751948000000001,22630,Rue de l'hôpital,Évran,R
2147,22650002,carrefour,48.58,-2.136,22650,Route de Plancoet,Ploubalay,R
2151,22710001,carrefour,48.80248,-3.30911,22710,31 Rue de Lannion,Penvénan,R
2159,22960001,carrefour,48.445538320000004,-2.7512954499999998,22960,"2, RUE DU CHALLONGE",PLEDRAN,R
2162,23000001,carrefour,46.168,1.888,23000,46 Avenue d'Auvergne,Guéret,R
2170,23130002,carrefour,46.108378471703,2.178214427131,23130,7 ROUTE D'AUBUSSON,CHENERAILLES,R
2174,23200001,carrefour,45.948,2.172,23200,La Rebeyrette,AUBUSSON,R
2176,23210003,carrefour,46.116,1.624,23210,4 avenue du limousin,Bénévent l Abbaye,R
